RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;AbsoluteDreamer;2020-12-25 20:30:00 UTC;-;(6518.0);3824.4;145.8°;C0;racing;52°32'53.30"S 54°02'53.85"W;47.103;79.516;18.6;16.76;1.0381;95%;?
#;davor56_RKN;2020-12-25 20:30:00 UTC;-;(6331.0);4011.7;145.6°;LJ (Auto);racing;49°49'53.98"S 51°34'46.90"W;40.334;50.114;13.9;11.04;1.0030;?;?
#;Picova-RKN;2020-12-25 20:30:00 UTC;-;(6506.7);3835.3;146.0°;C0 (Auto);racing;52°29'10.91"S 53°39'08.76"W;53.963;83.432;18.5;17.42;1.0431;100%;?
#;www.talmondais.com;2020-12-25 20:30:00 UTC;-;(6634.7);3718.8;140.9°;C0 (Auto);racing;51°30'44.83"S 61°28'56.55"W;302.000;56.520;7.4;7.63;1.0000;?;?
#;Xolub RKN;2020-12-25 20:30:00 UTC;-;(6475.7);3866.0;146.1°;C0 (Auto);racing;52°07'34.71"S 53°01'12.76"W;58.760;81.369;18.2;17.10;1.0431;100%;?
#;Tovaritch_RKN;2020-12-25 20:30:00 UTC;106740;10814.39;35.8;78.8°;Spi (Auto);racing;53°51'31.07"S 176°59'17.57"W;59.994;130.657;5.6;6.31;1.0000;no;heavy,radio,reach,skin
#;bigouden wind RKN;2020-12-25 20:30:00 UTC;-;(10312.2);-16.2;176.6°;C0;racing;54°14'54.05"S 177°57'08.17"W;75.984;123.052;9.8;10.75;1.0000;?;?
#;Bourne34 RKN;2020-12-25 20:30:00 UTC;-;(6341.6);4000.7;145.8°;LJ (Auto);racing;50°04'54.12"S 51°29'16.04"W;39.189;50.309;14.1;11.05;1.0030;?;?
#;City of le MANS RKN;2020-12-25 20:30:00 UTC;-;(6488.5);3853.1;146.1°;C0 (Auto);racing;52°19'31.01"S 53°09'45.48"W;54.994;80.084;18.3;16.90;1.0431;100%;?
#;F1704 RKN;2020-12-25 20:30:00 UTC;-;(6338.0);4004.8;145.6°;LJ (Auto);racing;49°55'01.09"S 51°42'28.43"W;41.084;51.083;14.2;11.09;1.0030;?;?
#;Fun lifestyles RKN;2020-12-25 20:30:00 UTC;-;(10272.3);-433.9;269.2°;LG (Auto);racing;53°27'07.90"S 169°49'06.52"E;117.000;138.545;14.6;14.90;1.0318;72%;?
#;GarosseC-RKN;2020-12-25 18:40:00 UTC;-;(6643.2);-4019.7;235.1°;Spi;racing;38°42'46.02"S 77°30'13.05"E;132.000;176.576;6.6;-;-;?;?
#;Garrouille RKN;2020-12-25 20:30:00 UTC;-;(6366.7);3978.3;144.5°;C0 (Auto);racing;49°47'20.94"S 53°20'36.85"W;55.000;71.051;17.2;14.64;1.0072;11%;?
#;Iety_RKN;2020-12-25 20:30:00 UTC;-;(6470.0);3871.8;146.1°;C0 (Auto);racing;52°02'04.07"S 52°57'49.87"W;57.020;78.520;18.3;16.58;1.0372;85%;?
#;iroizo;2020-12-25 20:30:00 UTC;-;(8999.4);-1876.6;266.3°;C0;racing;45°19'58.64"S 134°32'50.03"E;94.872;122.125;23.1;20.57;1.0000;no;?
#;Iroizo C-RKN;2020-12-25 22:00:50 UTC;-;(6645.3);-4017.5;235.2°;LJ (Auto);racing;38°44'24.63"S 77°31'57.19"E;9.000;44.826;7.0;-;-;?;?
#;letango RKN;2020-12-25 20:30:00 UTC;-;(6485.1);3857.0;145.9°;C0 (Auto);racing;52°09'01.38"S 53°24'51.91"W;61.000;86.455;18.3;17.85;1.0431;100%;?
#;Lothe60RKN;2020-12-25 20:30:00 UTC;-;(9855.0);-945.6;264.7°;HG;racing;52°29'17.57"S 155°39'09.73"E;154.379;146.583;20.2;16.71;1.0000;no;?
#;Malamoc;2020-12-25 20:30:00 UTC;-;(6365.9);3979.0;144.6°;C0 (Auto);racing;49°47'46.28"S 53°17'29.50"W;52.000;67.876;17.1;14.06;1.0030;?;?
#;Matheja1664;2020-12-25 20:30:00 UTC;-;(10271.8);-68.3;197.7°;Spi (Auto);racing;55°03'41.89"S 178°35'06.85"W;87.072;128.314;11.4;12.05;1.0000;no;?
#;mezua34;2020-12-25 20:30:00 UTC;-;(9772.7);711.6;99.7°;Jib (Auto);racing;54°17'13.11"S 157°40'28.81"W;75.639;45.872;11.2;9.94;1.0000;?;?
#;philou 33 RKN;2020-12-25 20:30:00 UTC;-;(6347.5);3997.1;144.7°;C0 (Auto);racing;49°36'43.97"S 52°51'53.03"W;51.339;64.725;16.2;13.07;1.0030;?;?
#;PostR 2cvFurtive RKN;2020-12-25 20:30:00 UTC;-;(6330.6);4018.6;142.7°;C0 (Auto);racing;48°19'36.70"S 54°58'11.32"W;67.016;91.311;16.9;17.51;1.0431;100%;?
